Spalte 1,created_at,model_name,input_tokens,output_tokens,estimated_tokens,trace_duration_ms,trace_duration_s,duration_generation_ms,duration_generation_s,duration_function_ms,duration_function_s,trace_id
behindthescenes,anthropic/claude-3-5-sonnet-20240620,2025-07-26T12:30:05.885958Z,,,49270,49169,"49,2",46955,47,2180,"2,2",trace_43df8f8d25cf4f76a3aeb24f868d1e1d
behindthescenes,anthropic/claude-opus-4-20250514,2025-07-26T12:33:10.262250Z,,,151953,168210,"168,2",158643,"158,6",9513,"9,5",trace_25652f79b3774880932d442b485354c2
behindthescenes,anthropic/claude-sonnet-4-20250514,2025-07-26T12:24:45.908257Z,,,138653,101024,101,90702,"90,7",10263,"10,3",trace_109ae1c95eb74981abf9943070cde659
behindthescenes,gemini/gemini-2.5-flash,2025-07-26T12:32:13.973962Z,,,24124,59294,"59,3",45919,"45,9",13293,"13,3",trace_15c942be51274a2db88990fa366164cf
behindthescenes,gemini/gemini-2.5-pro,2025-07-26T12:27:47.505707Z,,,202976,138749,"138,7",111249,"111,2",27439,"27,4",trace_66fe2d3e56174300b039bac4221851b7
behindthescenes,openai/gpt-4.1,2025-07-26T12:30:54.904113Z,249911,1220,,36353,"36,4",33222,"33,2",3079,"3,1",trace_a91061dbc3de44329f0c1dfda3935eb9
behindthescenes,openai/gpt-4.1-mini,2025-07-26T12:31:31.517949Z,302863,885,,40712,"40,7",30931,"30,9",9726,"9,7",trace_760f4197e296482aa7537d7692077571
behindthescenes,openai/gpt-4o,2025-07-26T12:26:28.219795Z,85515,1902,,42623,"42,6",40245,"40,2",2332,"2,3",trace_587b3621d11b449e855322bd0eefde9c
behindthescenes,openai/gpt-4o-mini,2025-07-26T12:27:07.908014Z,51556,885,,37529,"37,5",34744,"34,7",2735,"2,7",trace_8719765bc8594415b1983a14c8116dd5
behindthescenes,openai/o4-mini,2025-07-26T12:17:21.303372Z,299131,39816,,444016,444,440889,"440,9",3076,"3,1",trace_18b53b7bdf0f4c0ba2fc6eba7c26ef25
bincrypt_breaker,anthropic/claude-opus-4-20250514,2025-07-26T13:02:3248395Z,,,328648,208578,"208,6",195594,"195,6",12917,"12,9",trace_3617fc4ca9c84416996a6496e629363c
bincrypt_breaker,anthropic/claude-sonnet-4-20250514,2025-07-26T12:41:25.785318Z,,,194438,88843,"88,8",75887,"75,9",12888,"12,9",trace_5d71f32ff213457c8664e621f6402305
bincrypt_breaker,gemini/gemini-2.5-flash,2025-07-26T13:01:32.976296Z,,,47661,58174,"58,2",44823,"44,8",13299,"13,3",trace_fb54e0f2a0ea4d399687c0e13eac3239
bincrypt_breaker,gemini/gemini-2.5-pro,2025-07-26T12:44:45.259538Z,,,8027960,542985,543,540725,"540,7",2237,"2,2",trace_fb89e35d29bb45df934922f69c18db64
bincrypt_breaker,openai/gpt-4.1-mini,2025-07-26T13:00:32.897259Z,636718,1165,,60955,61,53646,"53,6",7252,"7,3",trace_9db544d02e0849b99f518775df4599b4
bincrypt_breaker,openai/gpt-4o,2025-07-26T12:42:5396663Z,299964,2534,,63334,"63,3",55529,"55,5",7744,"7,7",trace_d1d6e327191d4097b2d59e65b55356ff
bincrypt_breaker,openai/gpt-4o-mini,2025-07-26T12:43:57.642183Z,69072,934,,44344,"44,3",32816,"32,8",11470,"11,5",trace_a63226cd41404b22bb191b54e0c3a1d3
bincrypt_breaker,openai/o4-mini,2025-07-26T12:35:59.178335Z,454723,27915,,326104,"326,1",322705,"322,7",3346,"3,3",trace_4c3f8f3fe2234c4e9b6d1fd31385a33e
multi-agent atop,anthropic/claude-3-5-sonnet-20240620,2025-07-28T17:09:19.202887Z,,,58927,635113,"635,1",617025,617,479707,"479,7",trace_d3851a5fa06448c7860b437a8addbca8
multi-agent atop,anthropic/claude-sonnet-4-20250514,2025-07-28T14:44:18.649109Z,,,83002,1468996,1469,1350371,"1350,4",1273760,"1273,8",trace_891f0dfaa2a8463a917799db097f896a
multi-agent atop,gemini/gemini-2.5-flash,2025-07-28T17:35:45.493544Z,,,77926,981679,"981,7",899465,"899,5",1060265,"1060,3",trace_12890664da8f4035856dfc530a12857b
multi-agent atop,gemini/gemini-2.5-pro,2025-07-28T17:03:30.897103Z,,,613391,5606354,"5606,4",5330514,"5330,5",4362294,"4362,3",trace_b6395bbb731047b4ac7daab1aa3e5f77
